run_name,supervision,n_orb,num_layers,geometry,seed,val_transmission,l12_transmission,l16_transmission,l12_dos,l16_dos,onsite_near,onsite_far,ci_interior_mode,ci_interior_total,onsite_abs_mean,onsite_std,saved_at_epoch
ham_tonly_n1_L2_geom_s3731635825,T-only,1,2,on,3731635825,0.5508544998509544,2.4081006144836197,2.3253809469631412,0.5081722844317036,0.48807233853275656,1.8750821206705914,1.8750821206705914,0.19257936689231636,0.19500806081680452,1.7945174299296807,0.6862301101061536,1242
ham_tonly_n1_L4_nogeom_s1179027592,T-only,1,4,off,1179027592,0.4775747007557324,2.8781536677008197,2.296794024515627,0.37973895363636595,0.42577289652441336,2.161563197172341,2.161563197172341,0.22212786045507915,0.22700526739017285,2.075376395285822,1.0401463558570978,412
ham_tonly_n1_L4_nogeom_s2129768291,T-only,1,4,off,2129768291,0.4633609279990196,2.773620492524808,2.3233386087179166,0.5409100228723385,0.4529496455340903,1.8301825964005785,1.8301825964005785,0.22212882513949014,0.2235615208226576,1.8227193326114302,0.729372301811843,422
ham_tonly_n1_L4_nogeom_s3731635825,T-only,1,4,off,3731635825,0.5751409232616425,2.307958615163254,2.674096304034001,0.6587322289450277,0.7533641635771119,2.098078058577021,2.098078058577021,0.2926141208668329,0.293786862397189,2.064088655098139,0.8925561546463824,845
ham_tonly_n1_L4_geom_s1179027592,T-only,1,4,on,1179027592,0.5488867546830859,1.8961995348813094,2.248573917986327,0.477498562996836,0.45215323264277085,2.4128219826553807,2.4128219826553807,0.47210504434215594,0.48879484006018026,2.3646756274850214,1.6595770011827173,9775
ham_tonly_n1_L4_geom_s2129768291,T-only,1,4,on,2129768291,0.6098823121615818,3.2097931687681798,2.765937528566976,0.4845066063585903,0.513747983038099,1.7745489573621314,1.7745489573621314,0.09198239047423229,0.09198319633338559,1.7264535243241583,0.4963294063219561,40
ham_tonly_n1_L4_geom_s3731635825,T-only,1,4,on,3731635825,0.49020242584603174,2.6618552789254224,2.3684364385230525,0.49417417886782966,0.4349835805055553,1.9367436795961037,1.9367436795961037,0.2612018641550129,0.262134180510613,1.834751778372852,0.742488389255573,814
ham_tonly_n2_L2_nogeom_s1179027592,T-only,2,2,off,1179027592,0.4202326823558126,3.060001815591491,2.246825772192335,0.3384088219135205,0.27425130897409045,1.5792026458655588,2.207909001663878,0.022446488466492803,0.024570468103428677,1.754768225747618,0.5845723623853132,224
ham_tonly_n2_L2_nogeom_s2129768291,T-only,2,2,off,2129768291,0.5275018619639533,2.505825417371541,2.179652861247557,1.29485423013868,1.2114213787870156,2.629135910956151,8.142178288651433,0.747813549470628,0.7481567291181576,5.195395334157972,5.986315442783472,276
ham_tonly_n2_L2_nogeom_s3731635825,T-only,2,2,off,3731635825,0.3881164938211441,2.8341781420790157,2.0596720168384257,0.19831925904294645,0.19917278953376794,1.3083833421363618,2.303149907341694,0.10988162043034258,0.12036693476072202,1.9160942295787486,2.1503198628237925,189
ham_tonly_n2_L2_geom_s1179027592,T-only,2,2,on,1179027592,0.5479730623109,2.9273017668139234,2.238564556144105,0.9375792383411474,0.871257299148166,2.003348157232932,5.752947520211796,0.2759602301293781,0.2759759970062508,3.7958308281467836,4.483027463958885,393
ham_tonly_n2_L2_geom_s2129768291,T-only,2,2,on,2129768291,0.5205404268843787,2.906473754059366,2.3595932292833384,1.0046107234472745,1.0391911341130537,2.970054907283388,6.084722888622271,0.26293863732055056,0.2751236227146803,4.465238195259962,4.941998165143614,236
ham_tonly_n2_L2_geom_s3731635825,T-only,2,2,on,3731635825,0.5582257083484105,2.398356888411705,2.4406380810700963,0.7250146113128696,0.6855688945503253,3.4203822759964244,18.45057619093713,0.4654827618223632,0.46781752765184303,10.923761202058932,10.63687844915126,412
ham_tonly_n2_L4_nogeom_s1179027592,T-only,2,4,off,1179027592,0.31716440298727583,1.923845175583835,1.9938577675268443,0.2565951714360361,0.27840170568094824,2.07890946090543,6.420207018347122,0.7093183711724861,0.7140908702762194,4.162856661983401,3.725341606459332,409
ham_tonly_n2_L4_nogeom_s2129768291,T-only,2,4,off,2129768291,0.48726564539330347,2.436846384531564,2.318226069835113,1.2420387157352195,1.125081804181896,2.0236549822472543,14.588399231542235,1.4788633616912663,1.570198265638183,8.020666023903939,9.763433347821875,1220
ham_tonly_n2_L4_nogeom_s3731635825,T-only,2,4,off,3731635825,0.3717310439263071,2.0674392571009372,2.1428040707615192,0.3041149458989323,0.3275615999112338,1.850137676991777,5.337618717250079,0.4680352164652907,0.4714058244792874,3.655261626590213,2.9104356034132546,249
ham_tonly_n2_L4_geom_s1179027592,T-only,2,4,on,1179027592,0.4546016039592879,2.208295884654112,2.301896494841518,0.9798111647356925,1.0369411896965017,2.1298582486619377,8.386873136165368,1.1760603730981771,1.213622260721189,5.318086320438765,6.764931290646542,1017
ham_tonly_n2_L4_geom_s2129768291,T-only,2,4,on,2129768291,0.5132928895098823,2.338538202235237,2.5727681647690046,0.9587794390472175,1.0102212568878999,4.570129436608676,26.3988476601771,1.7020727819542936,1.7310193869457704,14.902340344859493,15.133659886857973,788
